acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
324,-177,1002,-11270,-10010,-28700,9,1,-74,-5.0
-991,372,192,-2940,5880,10010,9,1,-68,-2.0
-854,511,-7,490,-2030,-15680,9,1,-78,5.0
-765,557,-132,3290,-2940,-2730,13,1,-73,4.0
-719,642,-22,1190,-1750,9030,15,1,-73,9.0
-716,687,-27,770,-1260,-560,17,1,-70,8.0
-721,675,-30,1190,-1190,-700,18,1,-74,2.0
-738,633,-27,630,-1330,-2940,20,1,-70,1.0
-745,625,-77,350,-210,1260,22,1,-68,6.0
-782,631,-34,840,-1610,-2030,24,1,-70,0.0
-764,613,-44,-1330,-490,-5950,11,1,-69,-3.0
-859,524,-58,910,-1260,-700,15,1,-89,9.0
-812,551,-52,-280,-1750,-2870,16,1,-69,-5.0
-803,562,-51,840,-1190,-3990,17,1,-75,-2.0
-808,564,-59,700,-1470,-4270,18,1,-67,-2.0
-817,540,-54,560,-1890,-210,19,1,-68,0.0
-823,538,-57,560,-1750,-70,20,1,-69,3.0
-823,543,-58,840,-1400,-630,9,1,-76,7.0
-838,555,-58,350,-1470,3360,12,1,-80,3.0
-816,577,-57,280,-2870,-3850,13,1,-77,2.0
-814,530,-53,70,-1470,-2100,14,1,-74,-13.0
-838,518,-55,840,-1680,140,16,1,-73,-4.0
-832,528,-57,840,-1400,70,17,1,-73,-4.0
-835,523,-56,490,-1400,-840,18,1,-71,-9.0
-836,521,-56,840,-1330,-350,19,1,-73,-9.0
-836,525,-56,770,-1260,-420,20,1,-74,-10.0
-836,520,-56,630,-1540,-420,21,1,-74,-13.0
-840,522,-57,770,-1400,-490,22,1,-77,-7.0
-834,520,-56,700,-1400,-280,23,1,-76,-3.0
-837,520,-57,700,-1470,-210,9,1,-76,-1.0
-836,521,-56,770,-1470,-280,9,1,-80,-1.0
-834,524,-57,630,-1470,-70,12,1,-84,-9.0
